Train_Part,Test_Part,Accuracy,Precision,Recall,F1,TSS,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_TSS
1,2,64.84%,99.86%,28.78%,44.68%,28.74%,65.30%,99.87%,30.22%,46.40%,30.18%
2,3,81.89%,98.52%,64.55%,78.00%,63.60%,81.50%,98.46%,64.08%,77.64%,63.08%
3,4,76.52%,99.79%,51.08%,67.57%,50.98%,76.28%,99.75%,51.32%,67.77%,51.20%
4,5,61.63%,99.74%,22.85%,37.18%,22.79%,60.71%,99.90%,21.13%,34.88%,21.11%
,Average,71.22%,99.48%,41.82%,56.86%,41.53%,70.95%,99.50%,41.69%,56.67%,41.39%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
